index,reference output,claude-2.1,mixtral-8x7b-instruct,mistral-7b-instruct,gpt-3.5-turbo-0613-openai (functions),gpt-3.5-turbo-1106 (functions),gpt-4-0613 (functions),gpt-4-1106-preview (functions),llama-v2-13b-chat,llama-v2-70b-chat
1,a,1.00,0.00,1.00,1.00,0.00,1.0,1.00,0.0,0.0
2,aa,1.00,1.00,0.00,1.00,1.00,1.0,1.00,0.0,0.0
3,aaa,1.00,1.00,0.00,1.00,1.00,0.0,1.00,0.0,0.0
4,aaaa,1.00,0.00,0.00,0.00,1.00,1.0,0.00,0.0,0.0
5,dog,1.00,1.00,0.00,1.00,1.00,0.0,1.00,0.0,0.0
6,cat,1.00,1.00,0.00,1.00,0.00,1.0,1.00,0.0,0.0
7,hand,1.00,1.00,0.00,1.00,0.00,1.0,1.00,0.0,0.0
8,head,1.00,1.00,0.00,0.00,0.00,0.0,1.00,0.0,0.0
9,house,1.00,0.00,0.00,1.00,0.00,1.0,1.00,0.0,0.0
10,horse,1.00,1.00,0.00,0.00,0.00,1.0,1.00,0.0,0.0
11,school,1.00,0.00,0.00,0.00,0.00,1.0,1.00,0.0,0.0
12,church,1.00,1.00,0.00,0.00,0.00,0.0,1.00,0.0,1.0
13,teacher,1.00,1.00,0.00,1.00,0.00,0.0,1.00,0.0,1.0
14,student,1.00,1.00,0.00,0.00,0.00,0.0,1.00,0.0,0.0
15,computer,1.00,1.00,0.00,1.00,0.00,0.0,1.00,0.0,0.0
16,keyboard,1.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.0
17,university,1.00,1.00,0.00,0.00,0.00,0.0,1.00,0.0,0.0
18,dictionary,1.00,0.00,0.00,0.00,0.00,0.0,1.00,0.0,0.0
19,information,1.00,0.00,0.00,0.00,1.00,0.0,1.00,0.0,0.0
20,communication,1.00,0.00,0.00,1.00,0.00,0.0,1.00,0.0,0.0
