Question,o3-mini (high),o3-mini (medium),o1 (medium),DeepSeek-R1,QwQ-32B*,DeepSeek-R1-Distill-32B,DeepSeek-R1-Distill-70B,gemini-2.0-flash-thinking,Claude-3.7-Sonnet (Thinking)*,DeepSeek-R1-Distill-14B,DeepSeek-V3-03-24*,o3-mini (low),QwQ-32B-Preview,gemini-2.0-pro,gemini-2.0-flash,DeepSeek-V3,DeepSeek-R1-Distill-1.5B,gpt-4o,Claude-3.5-Sonnet
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3.1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3.2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3.3,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
4.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
4.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
4.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
5.2,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
5.3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0
6.1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0
6.2,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
6.3,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
7,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
7.1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
7.2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7.3,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
8,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
8.2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8.3,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
9.1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0
9.2,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0
9.3,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0
10,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
10.1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
10.2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10.3,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
11,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11.1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11.2,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
11.3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
12.1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0
12.2,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
12.3,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
14.1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
14.2,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
14.3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
